"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
6,"ObjectBlack",18,1,"CR",576,"bg18c","Object","Arab-Muslim",102115,23,"weiblich"
6,"ObjectBlack",3,1,"CR",671,"bg03c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",15,1,"Hit",597,"bg15d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"ObjectWhite",5,0,"FA",635,"bg05a","Object","White",102115,23,"weiblich"
6,"ObjectBlack",20,1,"CR",623,"bg20c","Object","Arab-Muslim",102115,23,"weiblich"
6,"GunBlack",20,1,"Hit",400,"bg20d","Gun","Arab-Muslim",102115,23,"weiblich"
6,"GunWhite",18,1,"Hit",567,"bg18b","Gun","White",102115,23,"weiblich"
6,"GunWhite",20,1,"Hit",565,"bg20b","Gun","White",102115,23,"weiblich"
6,"ObjectWhite",16,1,"CR",633,"bg16a","Object","White",102115,23,"weiblich"
6,"GunWhite",1,1,"Hit",431,"bg01b","Gun","White",102115,23,"weiblich"
6,"GunWhite",11,1,"Hit",447,"bg11b","Gun","White",102115,23,"weiblich"
6,"ObjectBlack",9,1,"CR",581,"bg09c","Object","Arab-Muslim",102115,23,"weiblich"
